Age,Gender,Education,Enjoyable_amount_of_drugs,Live_with,Conflict_with_law,Motive_with_drug,Spend_most_time_with,Failure_in_life,Mental_emotional_problem,Suicidal_thoughts,Family_relationship,Financials_of_family,Addicted_person_in_family,num_of_friends,Withdrawal_symptoms,friends_houses_at_night,Satisfied_with_workplace,Case_in_court,Living_with_drug_user,Smoking,Ever_taken_drug,Friends_influence,Would_try_drugs,Control_use_of_drug,Frequency_of_drugs
between_22_to_35_years,Male,Undergraduate,I_have_no_idea,Hostel_Hall,No,Should_avoid,Friends,No,Anxiety,No,Satisfactory,Lower_Class,No,Many_more_than_5,No,Yes_often_I_do,Yes,No,No,Yes_occasionally,No,No_they_dont,no_ill_not,No_Its_not_possible,Never_Not_applicable
between_22_to_35_years,Male,Postgraduate_MSc_PhD,I_have_no_idea,With_Family_Relatives,No,Should_avoid,Friends,Yes,Depression,No,Average,Lower_Class,No,Few_14,I_have_no_idea,Sometimes,No,No,No,Yes_every_day,No,No_they_dont,Ill_try,Yes_Its_possible,Never_Not_applicable
s15_to_22_years,Female,Undergraduate,I_have_no_idea,With_Family_Relatives,No,Should_avoid,Family_Relatives,Yes,Both,Yes,Satisfactory,Medium,Not_sure,Many_more_than_5,I_have_no_idea,Yes_often_I_do,No,No,No,No_I_dont,No,No_they_dont,Ill_try,Yes_Its_possible,Never_Not_applicable
between_22_to_35_years,Male,Undergraduate,I_have_no_idea,Hostel_Hall,No,Should_avoid,Friends,No,Depression,Yes,Satisfactory,Lower_Class,No,Many_more_than_5,Yes,Yes_often_I_do,Yes,No,Yes,Yes_every_day,Yes,No_they_dont,Ill_try,Yes_Its_possible,Occasionally
between_22_to_35_years,Male,Postgraduate_MSc_PhD,I_have_no_idea,Hostel_Hall,No,Should_avoid,Friends,Yes,Anxiety,No,Satisfactory,Medium,No,Few_14,I_have_no_idea,Sometimes,Yes,No,No,Yes_every_day,No,Yes_often_they_do,Ill_try,Yes_Its_possible,Never_Not_applicable
between_22_to_35_years,Female,Undergraduate,Multiple_drugs,With_Family_Relatives,No,Social_trend,Friends,No,Others,No,Average,Lower_Class,No,Many_more_than_5,I_have_no_idea,Sometimes,Yes,No,No,Yes_occasionally,Yes,No_they_dont,Ill_try,Yes_Its_possible,Once_twice_a_week
above_35,Female,Undergraduate,Multiple_drugs,With_Family_Relatives,Yes,Disease_Social_trend,Friends,Yes,Both,Yes,Average,Lower_Class,No,Few_14,No,Sometimes,Yes,Yes,No,Yes_occasionally,Yes,Yes_often_they_do,i_dont_know_confused,Yes_Its_possible,Never_Not_applicable
above_35,Female,Undergraduate,Multiple_drugs,With_Family_Relatives,Yes,Social_trend_Should_avoid,Friends,Yes,Anxiety,Yes,Average,Lower_Class,No,Many_more_than_5,I_have_no_idea,Sometimes,Yes,No,No,Yes_occasionally,Yes,Yes_often_they_do,no_ill_not,Yes_Its_possible,Once_twice_a_week
between_22_to_35_years,Male,Undergraduate,I_have_no_idea,Hostel_Hall,No,Should_avoid,Friends,Yes,Depression,Yes,Satisfactory,Medium,Yes,Few_14,I_have_no_idea,Sometimes,Yes,No,Yes,Yes_every_day,No,No_they_dont,i_dont_know_confused,Yes_Its_possible,Never_Not_applicable
between_22_to_35_years,Female,Undergraduate,Multiple_drugs,Hostel_Hall,No,Social_trend,Friends,No,Both,Yes,Average,Medium,No,Many_more_than_5,I_have_no_idea,Yes_often_I_do,No,No,Yes,Yes_every_day,Yes,Yes_often_they_do,Ill_try,No_Its_not_possible,Once_twice_a_week
s15_to_22_years,Female,HSC_A_levels,I_have_no_idea,With_Family_Relatives,No,Social_trend,Family_Relatives,No,Anxiety,No,Average,Medium,No,Many_more_than_5,I_have_no_idea,No_I_dont,Yes,No,No,No_I_dont,No,No_they_dont,i_dont_know_confused,No_Its_not_possible,Never_Not_applicable
between_22_to_35_years,Female,HSC_A_levels,Multiple_drugs,With_Family_Relatives,Yes,Disease_Social_trend,Family_Relatives,Yes,Depression,Yes,Satisfactory,Medium,No,Few_14,Yes,Sometimes,No,Yes,No,Yes_occasionally,No,No_they_dont,no_ill_not,No_Its_not_possible,Once_twice_a_week
